UK title[1][11][12],Year of UK publication,UK publisher (All London),Year of US publication,US title,US publisher (All New York),Series,Notes
The Mysterious Affair at Styles,1921,The Bodley Head,1920.0,The Mysterious Affair at Styles,John Lane,Hercule Poirot,–
The Secret Adversary,1922,The Bodley Head,1922.0,The Secret Adversary,"Dodd, Mead & Co",Tommy and Tuppence,–
The Murder on the Links,1923,The Bodley Head,1923.0,The Murder on the Links,"Dodd, Mead & Co",Hercule Poirot,–
The Man in the Brown Suit,1924,The Bodley Head,1924.0,The Man in the Brown Suit,"Dodd, Mead & Co",Colonel Race,–
The Secret of Chimneys,1925,The Bodley Head,1925.0,The Secret of Chimneys,"Dodd, Mead & Co",Superintendent Battle,–
The Murder of Roger Ackroyd,1926,William Collins & Sons,1926.0,The Murder of Roger Ackroyd,"Dodd, Mead & Co",Hercule Poirot,–
The Big Four,1927,William Collins & Sons,1927.0,The Big Four,"Dodd, Mead & Co",Hercule Poirot,–
The Mystery of the Blue Train,1928,William Collins & Sons,1928.0,The Mystery of the Blue Train,"Dodd, Mead & Co",Hercule Poirot,–
The Seven Dials Mystery,1929,William Collins & Sons,1929.0,The Seven Dials Mystery,"Dodd, Mead & Co",Superintendent Battle,–
The Murder at the Vicarage,1930,William Collins & Sons,1930.0,The Murder at the Vicarage,"Dodd, Mead & Co",Miss Marple,–
Giant's Bread,1930,William Collins & Sons,1930.0,Giant's Bread,Doubleday,Other,As Mary Westmacott
The Floating Admiral,1931,Hodder & Stoughton,1932.0,The Floating Admiral,Doubleday,Mystery novel,With members of The Detection Club.[13][a]
The Sittaford Mystery,1931,William Collins & Sons,1931.0,The Murder at Hazelmoor,"Dodd, Mead & Co",Mystery novel,–
Peril at End House,1932,William Collins & Sons,1932.0,Peril at End House,"Dodd, Mead & Co",Hercule Poirot,–
Lord Edgware Dies,1933,William Collins & Sons,1933.0,Thirteen at Dinner,"Dodd, Mead & Co",Hercule Poirot,–
Murder on the Orient Express,1934,William Collins & Sons,1934.0,Murder in the Calais Coach,"Dodd, Mead & Co",Hercule Poirot,–
Unfinished Portrait,1934,William Collins & Sons,1934.0,Unfinished Portrait,Doubleday,Other,As Mary Westmacott
Why Didn't They Ask Evans?,1934,William Collins & Sons,1935.0,The Boomerang Clue,"Dodd, Mead & Co",Mystery novel,–
Three Act Tragedy,1935,William Collins & Sons,1934.0,Murder in Three Acts,"Dodd, Mead & Co",Hercule Poirot,–
Death in the Clouds,1935,William Collins & Sons,1935.0,Death in the Air,"Dodd, Mead & Co",Hercule Poirot,–
The A.B.C. Murders,1936,William Collins & Sons,1936.0,The A.B.C. Murders,"Dodd, Mead & Co",Hercule Poirot,–
Murder in Mesopotamia,1936,William Collins & Sons,1936.0,Murder in Mesopotamia,"Dodd, Mead & Co",Hercule Poirot,–
Cards on the Table,1936,William Collins & Sons,1937.0,Cards on the Table,"Dodd, Mead & Co",Hercule Poirot,–
Dumb Witness,1937,William Collins & Sons,1937.0,Poirot Loses a Client,"Dodd, Mead & Co",Hercule Poirot,–
Death on the Nile,1937,William Collins & Sons,1938.0,Death on the Nile,"Dodd, Mead & Co",Hercule Poirot,–
Appointment with Death,1938,William Collins & Sons,1938.0,Appointment with Death,"Dodd, Mead & Co",Hercule Poirot,–
Hercule Poirot's Christmas,1938,William Collins & Sons,1939.0,Murder for Christmas,"Dodd, Mead & Co",Hercule Poirot,Later US editions also published under the title A Holiday for Murder
Murder Is Easy,1939,William Collins & Sons,1939.0,Easy to Kill,"Dodd, Mead & Co",Superintendent Battle,–
And Then There Were None,1939,William Collins & Sons,1941.0,And Then There Were None,"Dodd, Mead & Co",Mystery novel,Also published in the U.S. as Ten Little Indians
Sad Cypress,1940,William Collins & Sons,1940.0,Sad Cypress,"Dodd, Mead & Co",Hercule Poirot,–
"One, Two, Buckle My Shoe",1940,William Collins & Sons,1941.0,The Patriotic Murders,"Dodd, Mead & Co",Hercule Poirot,Published in paperback in the US under the title An Overdose of Death
Evil Under the Sun,1941,William Collins & Sons,1941.0,Evil Under the Sun,"Dodd, Mead & Co",Hercule Poirot,–
N or M?,1941,William Collins & Sons,1941.0,N or M?,"Dodd, Mead & Co",Tommy and Tuppence,–
The Body in the Library,1942,William Collins & Sons,1942.0,The Body in the Library,"Dodd, Mead & Co",Miss Marple,–
Five Little Pigs,1942,William Collins & Sons,1942.0,Murder in Retrospect,"Dodd, Mead & Co",Hercule Poirot,–
The Moving Finger,1943,William Collins & Sons,1942.0,The Moving Finger,"Dodd, Mead & Co",Miss Marple,–
Towards Zero,1944,William Collins & Sons,1944.0,Towards Zero,"Dodd, Mead & Co",Superintendent Battle,–
Absent in the Spring,1944,William Collins & Sons,1944.0,Absent in the Spring,Farrar & Rinehart,Other,As Mary Westmacott
Death Comes as the End,1945,William Collins & Sons,1944.0,Death Comes as the End,"Dodd, Mead & Co",Mystery novel,–
Sparkling Cyanide,1945,William Collins & Sons,1945.0,Remembered Death,"Dodd, Mead & Co",Colonel Race,–
The Hollow,1946,William Collins & Sons,1946.0,The Hollow,"Dodd, Mead & Co",Hercule Poirot,–
Taken at the Flood,1948,William Collins & Sons,1948.0,There is a Tide . . .,"Dodd, Mead & Co",Hercule Poirot,–
The Rose and the Yew Tree,1948,Heinemann,1948.0,The Rose and the Yew Tree,Rinehart & Company,Other,As Mary Westmacott
Crooked House,1949,William Collins & Sons,1949.0,Crooked House,"Dodd, Mead & Co",Mystery novel,–
A Murder Is Announced,1950,William Collins & Sons,1950.0,A Murder Is Announced,"Dodd, Mead & Co",Miss Marple,–
They Came to Baghdad,1951,William Collins & Sons,1951.0,They Came to Baghdad,"Dodd, Mead & Co",Mystery novel,–
Mrs McGinty's Dead,1952,William Collins & Sons,1952.0,Mrs McGinty's Dead,"Dodd, Mead & Co",Hercule Poirot,–
They Do It with Mirrors,1952,William Collins & Sons,1952.0,Murder with Mirrors,"Dodd, Mead & Co",Miss Marple,–
A Daughter's a Daughter,1952,William Collins & Sons,1963.0,A Daughter's a Daughter,Dell Publishing,Other,As Mary Westmacott
After the Funeral,1953,William Collins & Sons,1953.0,Funerals are Fatal,"Dodd, Mead & Co",Hercule Poirot,–
A Pocket Full of Rye,1953,William Collins & Sons,1954.0,A Pocket Full of Rye,"Dodd, Mead & Co",Miss Marple,–
Destination Unknown,1954,William Collins & Sons,1955.0,So Many Steps to Death,"Dodd, Mead & Co. Syndicated in US Newspapers as Destination X.",Mystery novel,–
Hickory Dickory Dock,1955,William Collins & Sons,1955.0,Hickory Dickory Death,"Dodd, Mead & Co",Hercule Poirot,–
Dead Man's Folly,1956,William Collins & Sons,1956.0,Dead Man's Folly,"Dodd, Mead & Co",Hercule Poirot,–
The Burden,1956,Heinemann,1963.0,The Burden,Dell Publishing,Other,As Mary Westmacott
4.50 from Paddington,1957,William Collins & Sons,1957.0,What Mrs. McGillicuddy Saw!,"Dodd, Mead & Co",Miss Marple,–
Ordeal by Innocence,1958,William Collins & Sons,1959.0,Ordeal by Innocence,"Dodd, Mead & Co",Mystery novel,–
Cat Among the Pigeons,1959,William Collins & Sons,1960.0,Cat Among the Pigeons,"Dodd, Mead & Co",Hercule Poirot,–
The Pale Horse,1961,William Collins & Sons,1962.0,The Pale Horse,"Dodd, Mead & Co",Mystery novel,–
The Mirror Crack'd from Side to Side,1962,William Collins & Sons,1963.0,The Mirror Crack'd,"Dodd, Mead & Co",Miss Marple,–
The Clocks,1963,William Collins & Sons,1964.0,The Clocks,"Dodd, Mead & Co",Hercule Poirot,–
A Caribbean Mystery,1964,William Collins & Sons,1965.0,A Caribbean Mystery,"Dodd, Mead & Co",Miss Marple,–
At Bertram's Hotel,1965,William Collins & Sons,1965.0,At Bertram's Hotel,"Dodd, Mead & Co",Miss Marple,–
Third Girl,1966,William Collins & Sons,1967.0,Third Girl,"Dodd, Mead & Co",Hercule Poirot,–
Endless Night,1967,William Collins & Sons,1968.0,Endless Night,"Dodd, Mead & Co",Mystery novel,–
By the Pricking of My Thumbs,1968,William Collins & Sons,1968.0,By the Pricking of My Thumbs,"Dodd, Mead & Co",Tommy and Tuppence,–
Hallowe'en Party,1969,William Collins & Sons,1969.0,Hallowe'en Party,"Dodd, Mead & Co",Hercule Poirot,–
Passenger to Frankfurt,1970,William Collins & Sons,1970.0,Passenger to Frankfurt,"Dodd, Mead & Co",Mystery novel,–
Nemesis,1971,William Collins & Sons,1971.0,Nemesis,"Dodd, Mead & Co",Miss Marple,–
Elephants Can Remember,1972,William Collins & Sons,1972.0,Elephants Can Remember,"Dodd, Mead & Co",Hercule Poirot,–
Postern of Fate,1973,William Collins & Sons,1973.0,Postern of Fate,"Dodd, Mead & Co",Tommy and Tuppence,–
Curtain,1975,William Collins & Sons,1975.0,Curtain,"Dodd, Mead & Co",Hercule Poirot,"Poirot's last case, written in the 1940s.[14]"
Sleeping Murder,1976,William Collins & Sons,1976.0,Sleeping Murder,"Dodd, Mead & Co",Miss Marple,"Miss Marple's last case, written in the 1940s.[15]"
Hercule Poirot and the Greenshore Folly,2014,HarperCollins,,,,Hercule Poirot,Written in 1954 to raise money for a church.[16] Later reworked into Dead Man's Folly (see above).
